Newspapers,Daily, Sunday
Baltimore Sun, 0.392, 0.489
Boston Globe, 0.517, 0.798
Charlotte Observer, 0.239, 0.299
Chicago Sun Times, 0.538, 0.559
Cincinnati Enquirer, 0.199, 0.349
Denver Post, 0.253, 0.418
Des Moines Register, 0.206, 0.345
Hartford Courant, 0.231, 0.323
Houston Chronicle, 0.450, 0.621
Kansas City Star, 0.289, 0.423
Los Angeles Daily News, 0.186, 0.203
Miami Herald, 0.445, 0.553
Minneapolis Star Tribune, 0.413, 0.686
New Orleans Times-Picayune, 0.272, 0.324
Omaha World Herald, 0.224, 0.285
Orange County Register, 0.355, 0.408
Portland Oregonian, 0.338, 0.441
Providence Journal-Bulletin, 0.197, 0.268
Rochester Democrat & Chronicle, 0.133, 0.262
Rocky Mountain News, 0.374, 0.433
Sacramento Bee, 0.274, 0.338
San Francisco Chronicle, 0.570, 0.704
St. Louis Post-Dispatch, 0.391, 0.586
St. Paul Pioneer Press, 0.202, 0.268
Tampa Tribune, 0.322, 0.408
